,clean_por_que_pelota_que_canta,clean_explica_lo_que_quiere_decir_mi_hermanito_es_una_pelota_de_gritos,clean_que_otra_cosa_podria_ser_una_pelota_de_pelos,clean_explica_tu_respuesta_en_la_frase_pelota_de_plata,clean_c1t,clean_c2t,clean_c3t,clean_c4t,clean_c5t,clean_c6t,clean_que_significa_1,clean_por_que_crees_que_si_o_no_es_posible_1,clean_que_significa_2,clean_por_que_crees_que_si_o_que_no_es_posible_2,clean_que_significa_3,clean_por_que_crees_que_si_o_que_no_es_posible_3,clean_que_significa_4,clean_por_que_crees_que_si_o_que_no_es_posible_4,clean_que_significa_5,clean_por_que_crees_que_si_o_que_no_es_posible_5,clean_que_significa_6,clean_por_que_crees_que_si_o_que_no_es_posible_6,clean_que_significa_7,clean_por_que_crees_que_si_o_que_no_es_posible_7,clean_que_significa_8,clean_por_que_crees_que_si_o_que_no_es_posible_8,clean_que_significa_9,clean_por_que_crees_que_si_o_que_no_es_posible_9
130,si tiene sentido porque si pones una persona tiene sentido,que es griton y juega con una pelota,gato chango león perro porque tienen pelos,mi mama es muy valiosa,0,blancos como perlas,dulce y tierna,con un hielo en la boca,que lo que paso no hay vuelta atrás,en el tiempo que esta habrá tiempos mejores,si tu eres la estrella en el cielo,si es posible sea o no sea tu imaginación,son vestidos a mano,son posibles de hacer sea o no así,son zapatos cubiertos de miel,no es posible seria tonto,una estatua de una persona,la podemos hacer sea o no sea posible,tu alma es fuerte,es posible si crees,0,0,ya trajiste la silla,la silla ya lego si o no es posible,que corre una carrera,no es posible llegar si es que crees llegar,tu esperas tiempo pasa,si o no son posibles lograr
131,si porque le gusta cantar,que es muy juguetón y grita mucho,cualquier animal porque tiene pelos,es algo valioso para el,de vapor,suave y con cuero,ardiente,gelatinosos,se acaba la escuela,que ya se va a acabar el año,que existen piernas de acero,no por que no se pueden hacer con acero,que hay sobres de papel,si por que el papel es fácil de doblarse,se hacen calendarios con zacate,si se puede porque es fácil el zacate,que hay carbones ardiendo,si por que con el carbón ardiente se hacen cosas,tiene ojos amargos,cuando se amarga una persona los ojos se amargan,que hay calceta de plata,no se puede hacer eso porque la plata no se diseño,la cebolla va sola,no las cebollas no llegan,que vuelan las gaviotas,si en el mar vuelan las gaviotas,que esta anocheciendo,cubdi anochece la luna llega
132,no porque las pelotas no cantan,que mi hermano grita mucho,un gato porque los gatos tienen muchos pelos,que los medallones pueden ser de muchas formas,son como la leche que son blancas,la piel es como la seda es un poco blanca,la mirada es ardiente cuando miras el sol,los ojos son amargos cuando lloras,que el verano ya llego,que la navidad ya va a llegar,pierna como de un robot,si por que si te cortan una pierna te pueden poner de acero,que es solo un sobre de papel,si por que si existen los sobres de papel,un calendario,no por que no se puede hacer un calendario de zacate,que es una carbón que se esta quemando,si por que si quemas un carbón se arde,cuando lloras se pueden hacer amargos,si por que cuando lloras tus ojos se hacen amargos,nada,no por que se pueden hacer calcetas de plata,no significa nada,no por que no significa nada,que si pueden volar,si por que las gaviotas si pueden volar,que ya se va hacer de noche,si porque solo se va hacer de noche
133,si porque es como tu mama cantara,tu hermanito saltara y saltara y no tiene sentido,perro,yo digo que seria la luna,las nubes son nubes muy suaves,la piel es una capa de carne y es parte del cuerpo,la mirada es parte del cuerpo humano con lo que podemos ver,los ojos son como la mirada y podemos ver en la noche o en día,el verano es que nos indica que podemos poner albercas como un día muy caluroso,que la navidad llego para festejar año nuevo y abrir regalos de los reyes magos,que si es posible tener piernas de acero,por que si es posible tener piernas de acero cuando provocas un accidente te cortan las piernas y te ponen una de acero,que si podemos hacer un sobre de papel,si es posible todos podemos hacer una de papel,se significa un calendario de zacate,no es probable tener esa calendario,cuando el carbón esta ardiendo,si esto se puede ver en las parrillas cuando esta ardiente,es cuando entra en tu ojo y te arde,es cuando te entra algo en el ojo y te arde mucho,es una calceta de plata,no existe esto no es posible,la cebolla llega a tus ojos,la cebolla la picas y te arden los ojos,que las gaviotas vuelan,si es posible que las gaviotas vuelen,cuando es la hora que te duermes,si es posible que la noche llegue
134,no es sentido figurado mas no literal,que su hermano no para de gritar,su cabeza,porque la luna es blanca plateada y brillante,blancas y grises llenas de gases y agua,suave y blanca,fuerte y linda,ojos cansados,que ya se acerca el verano que ya casi llega,que ya es navidad,piernas fuertes,son piernas fuertes mas no de acero,un sobre para cata,si es posible por que si se puede hacer con papel,que puede ser un calendario,por que hay calendarios hechos con plantas,carbón ardiente,por que el carbón se puede calentar mucho,un ojo triste,por que un ojo amargo pues no es limón,calcetas limpias,por que en otro sentido son calcetas limpias,que llegan las cebollas,no por que una cebolla no se mueve,que una gaviota vuela,porque una gaviota puede volar,que se hace de no,por que se hace de noche cuando gira el mundo
135,si porque canta,que cuando juega con la pelota grita,mi perro porque tiene mucho pelo,porque vale dinero,esponjosas y blancas,algunas veces es morena o blanca,a veces bonita o fea,algunos de color negro azul verdeo cafés,hace mucho calor,los regalos,ser indestructible de las piernas,porque si tu tienes eso no puedes caminar y por que no creo que tengan un químico,es subirte en uno de esos,porque creo que es como si te subieras,seria como un calendario pero no se podría hacer,por que no lo podrían hacer,es como si estuvieras calentando algo,por que le prende fuego y ya,lloras,es como si te pegaras en un lado y lloraras,plantar,por que ya han hecho otro tipo de plantas con otros materiales,llegar de un lado,por que no tiene pies,vuelan,por que son aves que pueden volar,que se hace de noche y oscurece,porque siempre pasa
136,si porque puede ser una persona,que su hermano grita mucho,un perro,el cabello puede ser color plata,blancas y son de gas,delicada y suave,bonita triste o enojada,enojados,hay vacaciones,que navidad llego,que tienes una pierna de acero,por algún accidente si,hacer un sobre de papel,si es posible,su horario de días,si puede ser de otro país o estado,cuando algo esta caliente,si el carbón se hace caliente,ojos enojados,si te puedes enojar,puede ser amarilla,puede ser amarilla,cala en los ojos,cala en los ojos,personas que caen mal,alguien chismoso,0,0
137,no porque las pelotas no cantan,que grita mucho,la cabeza porque tiene muchos pelos,que es una pelota de plata,largo y de color negro o café,blancos y duros,alta y buena,bonita,0,Que los tiempos van a ser mejores,que hay estrellas echas de cristal,si porque hay peliculas de estrellas de cristal,que son vestidos echos de tela,si hay muchos vestidos de tela,son zapatos hechos de miel,no porque no hay zapatos de miel,una figura de piedra,si porque hay esculturas de piedra,una alma de hierro,si es un alma de hierro,0,0,0,0,los atletas corren mucho,si los atletas corren mucho,0,0
138,no porque no puede haber pelotas que canten en la vida real,que no puede haber pelotas así,una pelota traviesa y gritona,que mi papa es muy fuerte y parece de plata,0,con pétalos,hermosos bonitos,No se puede tener una sonrisa tibia,El año va mas o menos,Los que pasan después,que están dulces,porque puedo ver los dulces,que se pueda,por que si,ne se puede,porque si que esas se ven previa,si se puede,ay algunas cosas que están saladas,si se puede,porque no te quiere lastimar,si se puede,por que sabe a madera,no se puede,porque no existen,si se puede,por que puedes usar electricidad,si se puede,porque así es la vida
139,no porque las pelotas no cantan,que grita mucho,0,una pelota para playa,rasposo,blancos,dulce,helada,salio el sol,Que vendrán tiempos mejores para alguien,es un adorno,por que si existe,es un vestido de tela,porque los he visto,0,porque es imposible,una escultura normal,las conozco,que no tiene sentimientos,es un decir,0,no se que significa,0,las sillas no se mueven,que corren,por que los he visto correr,que el tiempo si alcanza para algo,es un decir
140,si porque al momento que rebota suena,que cuando rebota suena como un grito,o sea que es una pelota peluda,una pelota de plata que no rebota,son gaseosas,suave,feliz,resbalosos,se acaba,Que la navidad llego a la ciudad,que tiene pies de metal,por que te lastiman,que es donde guardas cosas,si es posible,un calendario de pasto,nunca existieron,carbón en llamas,por que arde,ojos feos,no es posible,en vez que sea tela es de plata,no es posible,una cebolla que camina,no puede caminar una cebolla,un pájaro que vuela,si es posible,que oscurece,que ya es de noche
141,no porque la pelotas que cantan no existen,que mi hermanito siempre grita a cada segundo,que hay cosas con muchos pelos como el perro o gato,que seria muy valiosos con un ejemplo que puse la luna seria la frase,el cabello es muy valioso para nuestro cuerpo,Los dientes también son muy importantes y hay que cuidarlos,una también enojona algunas veces,mi sonrisa es muy chistosa pero así me hizo dios,0,que si hiciste cosas malas adelante te vendrán cosas mejores,es un estrella echa de cristal,no es posible por que las estrellas normales no son iguales a las de cristal,que los vestidos son de tela,que si es posible por que los que lo hicieron lo quisieron de tela,los zapatos tienen miel,no es posible porque los zapatos no tienen miel,que las esculturas se asen de piedra,si porque las esculturas si se pueden hacer de piedra en muchos anos atrás se hacían así,que tu alma no tiene sentimientos,no es posible porque cuando una persona es que no tiene sentimientos,0,0,0,0,que los atletas corren mucho,si es posible por que en la tele sale mucho de eso y por eso si es posible,por que el tiempo alcanza para todo,cuando llegas tarde a algo te alcanza el tiempo
142,no porque las pelotas no tienen cerebro entonces serian como unos zombis porque no tienen cerebro,una pelota de gritos porque los bebes siempre lloran gritan eructan y muchas mas cosas,perro o hamster porque tienen muchos pelos,pudiera ser dinero porque el dinero esta hecho de plata,suave de colores resistente Como mucha lana y quebrado,fuertes blancos tienen calcio puedes morder,Mi hermano es muy alegre muy juguetón,La sonrisa es que esta muy alegre,La noche ha caído la noche Fue a dar la vuelta,Para mi significa como que te encuentras dinero en la calle,las estrellas no son de cristal,las estrellas no pueden ser de cristal,los vestidos si son de tela,los vestidos son de tela si son de tela,no pueden ser de miel,porque si fueran de miel ce nos quedarían pegados,si puede ser de piedra,las esculturas de piedra de hielo o de mas cosas,si puede ser de hierro,es como si un familiar se muriera tu no lloras pero eso te causa enfermedades,no una banqueta no puede ser abrigadora,una banqueta no puede estar abrigada,una silla no puede llegar,una silla no puede llegar,los atletas si corren,los atletas corren porque hacen mucho ejercicio,el tiempo si te alcanza,el tiene por si te alcanza aunque tu siempre corras
143,si porque tu mama puede cantar,que su hermano grita mucho y le gusta saltar,perro porque tiene mucho pelo,la luna brilla,Largo y esponjado,Dientes plateados o prótesis,es agradable y buena,Sonrisa contagiosa,Vi videos con mi mama,Que te pasara algo mejor,como un juguete,por que se rompería con la gravedad o con las rocas que hay,hechos a mano y con hilo,por que los usan mujeres y se compra mucho,algo pegajoso,por que te pegarías en todo y se te suben las hormigas,piedras con formas,son bonitas las esculturas,que no te duele nada,por que a todos les duele algo,por que el cemento es frio,la banqueta es fría,no tienen pies,las sillas no caminan,tienen tenis veloces,los atletas corren mucho,por que si esperas y tienes algo mejor,0
144,no porque las pelotas no cantan,o sea que chilla mucho,mi papa un chango un gato un león un gorila,una alcancía porque tiene dinero adentro que también se llama plata dinero feria,rasposo,brillantes,amable,muy blanca,Salio el sol porque se acabo la noche,El futuro sera mejor,una estrella hecha de cristal,la pueden hacer de cristal,ropa,porque los vestidos son de tela,zapatos hechos de miel,no se pueden hacer de miel,figura de piedra,es algo que formas con piedra,una de un soldado,es un alma impenetrable,que abrigue,ninguna carretera te abriga,como si alguien la hubiera llevado,por que la pueden llevar cargando,que los atletas corren un maratón,un concurso de correr,como si se te fuera alcanzarte,el tiempo avanza rápido
145,un señor que esta gordo y canta,que su hermano grita bien alto,perro que lo saco a pasar,la luna cuando es de noche es una pelota de plata,cabello todo seco,Son dientes muy bonitos y limpios y las perlas son bonitas,mi hermana es muy amigable me defiende de los demás,Osea que la sonrisa esta helada,Fui a la casa de un amigo después de la escuela,Cuando tienes un tiempo mal vendrá un tiempo mejor,no existen por que solo ay estrellas normales,porque nunca he visto una estrella de cristal,son vestidos de tela,so echos a mano con artesanos,por que zapatos de mil,porque pueden ser algún que pudo poner zapatos de miel,una piedra grande,es un escultor hizo una persona echa en piedra,cuando no le temes a nada,cuando tienes no miedo a nada,0,0,la persona tiene silla,la persona no tenia silla y la silla llego para la persona,corren los atletas,una carrera de los atletas que corren,cuando el tiempo alcanza,cundo vas a una fiesta llegas te temprano
146,no porque las pelotas no hablan,que grita mucho,un oso,la luna es una pelota pintada de plata,sedoso,Blancos y limpios,Linda y dulce,Linda,Ya paso la noche,Que pasaran tiempos mejores,que las estrellas son brillantes como el cristal,por que las estrellas son de energía,que son tela suave,por que si hay vestidos de tela,zapatos dulces,zapatos dulces brillantes,es una o algo duro y indestructible,casi todas las esculturas son de piedra,que eres duro con las situaciones,que no eres sentimental no tanto,0,no se que es abrigadora,no se que significa,no es posible porque no se mueven,que son corredores,pues porque si corren pero no todos,que si no te apuras no acabas,0
